"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN","WDMV"
"USC00042504","DOYLE, CA US","40.0267","-120.1055","1308.5","1994-05",,"1.37","0.0",,,,,
"USC00042506","DOYLE 4 SSE, CA US","39.9717","-120.0828","1338.1","1994-05",,"1.07","0.0","56.4","71.2","41.7",,
"USC00040790","BIG SUR STATION, CA US","36.2472","-121.7802","61.0","1994-05",,"1.81","0.0","57.4","69.7","45.0",,
"USR0000CKNO","KNOXVILLE CREEK CALIFORNIA, CA US","38.8619","-122.4172","670.6","1994-05",,,,"61.0","73.6","48.3",,
"USC00040798","BIG TUJUNGA DAM FC46, CA US","34.29481","-118.18849","709.0","1994-05",,"1.00","0.0",,,,,
"USC00049124","UKIAH 4 WSW, CA US","39.1266","-123.2719","404.8","1994-05",,"1.08","0.0",,,,,
"USS0019L08S","LEAVITT MEADOWS, CA US","38.3","-119.55","2194.0","1994-05",,"1.70",,"43.0","57.4","28.5",,
"USC00049001","TRACY PUMPING PLANT, CA US","37.79589","-121.58319","18.6","1994-05",,"1.39","0.0","64.6","77.6","51.6",,"3870.5"
"USC00049122","UKIAH, CA US","39.1466","-123.2102","193.9","1994-05",,"0.58","0.0","61.3","74.4","48.3",,
"USC00040673","BEN LOMOND NUMBER 4, CA US","37.08689","-122.08221","132.6","1994-05",,"2.42","0.0","59.1","72.1","46.2",,
"USR0000CWES","WESTWOOD CALIFORNIA, CA US","40.3067","-120.9","1767.8","1994-05",,,,"50.6","60.3","41.0",,
"USC00049367","VISALIA, CA US","36.32833","-119.2997","92.4","1994-05",,"0.43","0.0","67.2","78.4","56.0",,
"USC00049490","WEAVERVILLE, CA US","40.73529","-122.9441","627.3","1994-05",,"1.76","0.0",,,,,
"USR0000CWEE","WEED AIRPORT CALIFORNIA, CA US","41.4789","-122.4539","893.1","1994-05",,,,"58.1","71.0","45.2",,
"USC00048163","SHELTER COVE AVIATION, CA US","40.03306","-124.07278","75.0","1994-05",,,"0.0",,,,,
"USC00047195","QUINCY, CA US","39.9366","-120.9475","1042.4","1994-05",,"0.60","0.0","59.4","77.2","41.7",,
"USC00043824","HAT CREEK, CA US","40.9316","-121.5433","919.0","1994-05",,"2.91","0.0","57.4","73.7","41.2",,
"USC00041990","COPCO NUMBER 1 DAM, CA US","41.97983","-122.33811","812.3","1994-05",,"3.08","0.0",,,,,
"USR0000CCAH","CAHOON CALIFORNIA, CA US","36.3469","-121.5108","682.8","1994-05",,,,"56.4","67.9","44.9",,
"USR0000CLST","LAS TABLAS CALIFORNIA, CA US","35.6564","-120.9242","303.0","1994-05",,,,"60.2","78.4","42.0",,
"USR0000CCAL","CALLAHAN CALIFORNIA, CA US","41.3075","-122.7958","955.9","1994-05",,,,"58.7","75.0","42.4",,
"USR0000CEEL","EEL RIVER CALIFORNIA, CA US","39.8333","-123.0833","457.2","1994-05",,,,"61.8","77.2","46.5",,
"USR0000CLSF","LAS FLORES CALIFORNIA, CA US","33.2889","-117.4389","30.5","1994-05",,,,"61.5","67.8","55.2",,
"USC00049473","WATSONVILLE WATERWORKS, CA US","36.9308","-121.7691","29.0","1994-05",,"1.33","0.0","58.2","66.6","49.8",,
"USR0000CWHT","WHITMORE CALIFORNIA, CA US","40.6194","-121.8994","736.7","1994-05",,,,"64.7","79.6","49.7",,
"USR0000CWHC","WHITE CLOUD CALIFORNIA, CA US","39.3167","-120.8375","1316.7","1994-05",,,,"56.7","65.2","48.3",,
"USC00041878","COARSEGOLD 1 SW, CA US","37.25028","-119.70528","679.7","1994-05",,"2.41","0.0",,,,,
"USR0000CGHP","GRASSHOPPER CALIFORNIA, CA US","40.7817","-120.7844","1877.0","1994-05",,,,"50.0","64.3","35.6",,
"USC00041758","CHULA VISTA, CA US","32.64","-117.0858","17.1","1994-05",,"0.00","0.0","61.7","67.2","56.2",,
"USC00042728","ELECTRA P H, CA US","38.33056","-120.67056","217.9","1994-05",,"1.42","0.0",,,,,
"USC00043939","HETCH HETCHY, CA US","37.9613","-119.783","1179.6","1994-05",,"2.20","0.0","56.2","67.1","45.4",,
"USR0000CMTZ","MOUNT ZION CALIFORNIA, CA US","38.3894","-120.6511","902.2","1994-05",,,,"61.0","70.9","51.2",,
"USC00041864","COALINGA, CA US","36.1356","-120.3606","204.2","1994-05",,"0.43","0.0","70.4","86.2","54.6",,
"USC00043800","HARRY L. ENGLEBRIGHT DAM, CA US","39.2372","-121.2666","243.8","1994-05",,"0.52","0.0",,,,,
"USR0000CTAN","TANBARK CALIFORNIA, CA US","34.2069","-117.7606","792.5","1994-05",,,,"56.3","66.2","46.5",,
"USC00046197","NILAND, CA US","33.2775","-115.5239","-18.3","1994-05",,"0.04","0.0",,,,,
"USC00046074","NAPA STATE HOSPITAL, CA US","38.2777","-122.2647","10.7","1994-05",,"1.57","0.0","61.5","73.2","49.8",,
"USR0000CTAR","TARGET RANGE CALIFORNIA, CA US","33.3722","-117.3589","279.8","1994-05",,,,"59.4","65.6","53.3",,
"USC00049105","TWIN LAKES, CA US","38.70861","-120.04028","2438.4","1994-05",,,"0.0","43.9","54.8","32.9",,
"USC00048014","SAUGUS POWER PLANT 1, CA US","34.58998","-118.45412","658.7","1994-05",,"0.77","0.0",,,,,
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","1994-05",,"1.48","0.0","66.4","77.0","55.9",,"1542.2"
"USC00049345","VINCENT, CA US","34.4883","-118.1419","962.3","1994-05",,"0.16","0.0",,,,,
"USC00026250","PARKER, AZ US","34.1547","-114.2908","128.0","1994-05",,"0.34","0.0","77.6","92.3","62.9",,
